LAD08CD,LAD08NM,LEA08CD,LEA08NM,
00QY,North Ayrshire,00QY,North Ayrshire,
00QZ,North Lanarkshire,00QZ,North Lanarkshire,
00RA,Orkney Islands,00RA,Orkney Islands,
00RB,Perth & Kinross,00RB,Perth & Kinross,
00RC,Renfrewshire,00RC,Renfrewshire,
00RD,Shetland Islands,00RD,Shetland Islands,
00RE,South Ayrshire,00RE,South Ayrshire,
00RF,South Lanarkshire,00RF,South Lanarkshire,
00RG,Stirling,00RG,Stirling,
00RH,West Lothian,00RH,West Lothian,
00RJ,Eilean Siar,00RJ,Eilean Siar,
95A,Derry City,952,Western,
95B,Limavady,952,Western,
95C,Coleraine,953,North Eastern,
95D,Ballymoney,953,North Eastern,
95E,Moyle,953,North Eastern,
95F,Larne,953,North Eastern,
95G,Ballymena,953,North Eastern,
95H,Magherafelt,953,North Eastern,
95I,Cookstown,955,Southern,
95J,Strabane,952,Western,
95K,Omagh,952,Western,
95L,Fermanagh,952,Western,
95M,Dungannon,955,Southern,
95N,Craigavon,955,Southern,
95O,Armagh,955,Southern,
95P,Newry and Mourne,955,Southern,
95Q,Banbridge,955,Southern,
95R,Down,954,South Eastern,
95S,Lisburn,954,South Eastern,
95T,Antrim,953,North Eastern,
95U,Newtownabbey,953,North Eastern,
95V,Carrickfergus,953,North Eastern,
95W,North Down,954,South Eastern,
95X,Ards,954,South Eastern,
95Y,Castlereagh,954,South Eastern,
95Z,Belfast,951,Belfast,
